fips,opioid_factor,year
203,2.26564125E7,2007
26119,2.9313186E7,2007
29135,1.109149E7,2007
28147,4.2246792099999994E7,2007
51103,3.365046855E7,2007
3771,1.64667687055E9,2007
587,1.035445E7,2007
195,2.8922010845000005E8,2007
18175,1.9737299855E8,2007
53,5.996967775E7,2007
579,1.3082192100000001E7,2007
3033,234750.0,2007
21215,3.100972E7,2007
48435,777500.0,2007
21179,6.3578017099999994E7,2007
885,5.14051192E7,2007
28125,1.1388415E8,2007
3121,1841208.55,2007
4555,9.84065218E7,2007
5535,8.390039905E7,2007
4021,7.43701484E7,2007
48125,3969500.0,2007
161,1.0700773080499998E9,2007
29147,1.86224092E7,2007
31185,2.13046021E7,2007
4031,2.1112846745E8,2007
27145,1.8038118245000002E8,2007
37117,4.6066535650000006E7,2007
20103,4.6328679702E9,2007
1995,7985045.0,2007
19161,3948750.0,2007
3427,1.9630833983999994E9,2007
18107,1.0102473130000001E8,2007
5167,8.73420542E7,2007
869,6.436717597499999E8,2007
3639,1.0397050969999999E8,2007
4035,1.977685E7,2007
235,7.7508535945E8,2007
48389,8564760.0,2007
171,3.864793705E8,2007
157,4.330991E7,2007
3651,6.36585755E7,2007
3555,1.1960883439999999E8,2007
51167,4.8488673340000004E8,2007
2241,6.59067842E7,2007
1311,3.0106035E7,2007
3317,2.6729022055E8,2007
17141,2.9240924200000003E7,2007
29199,2034185.0,2007
1667,4531250.0,2007
133,1.1773875E7,2007
3153,4.022471905E7,2007
13,4.4585591075000006E8,2007
187,1951375.0,2007
5333,5.359495972000004E9,2007
4027,4.5465026295000005E8,2007
5577,4062750.0,2007
5113,2.3782062450000003E7,2007
3895,9500000.0,2007
1617,1.4990455485E8,2007
29229,1.93661321E7,2007
5341,2.2130351799999997E8,2007
3939,4.47971981E7,2007
665,7.48613477565E9,2007
4811,380350.0,2007
13199,4.660391195E7,2007
2967,3.250307E7,2007
215,5.486721855E7,2007
185,4160442.0999999996,2007
867,1.74716575695E8,2007
4859,2040950.0,2007
491,1.076348355E7,2007
2015,1.1138719629999998E8,2007
4567,6.77824016E9,2007
3743,2.9195475E7,2007
821,5293458.55,2007
20123,3356492.1,2007
3551,5.974583855E7,2007
2789,2262475.0,2007
1647,2.268883355E7,2007
5473,2.276721E7,2007
2311,3.8545487115E8,2007
8115,3966983.55,2007
2739,2478167.75,2007
165,1.0257835E7,2007
1649,1.731528355E7,2007
1335,4.041629035E7,2007
547,3.156315E7,2007
2243,4.349311E7,2007
3855,6.749395E7,2007
2711,2.128865E7,2007
1889,1.6986127106499996E9,2007
2911,4.23146171E7,2007
3117,546733.55,2007
1251,2.8271888355E8,2007
18123,3.6639185E7,2007
3087,8097510.0,2007
13131,2.310966615E7,2007
2145,3.109510275E7,2007
48265,1.6802497905E8,2007
469,3154658.55,2007
48169,4.4189117099999994E7,2007
48373,1.2634141855E8,2007
28117,3.705318355E7,2007
17137,4.09821913E7,2007
3559,2748250.0,2007
327,5.274720065E7,2007
819,7902217.1,2007
1363,2.6460525683999996E9,2007
4165,7.66929571E7,2007
5127,8.73165921E7,2007
42113,8566969.2,2007
13219,3.5355455E7,2007
3871,3.87971792E7,2007
51161,5.153175968E8,2007
48217,7.981332485E7,2007
2167,2.6059625298999996E9,2007
3199,731000.0,2007
2643,3.563137695E7,2007
531,2.01768763E7,2007
537,1.4264980839999998E8,2007
13273,7.795733355E7,2007
48135,2.2792144615000004E8,2007
4245,2.3230675603999996E9,2007
51111,7055665.0,2007
13223,4.5135348765E8,2007
20195,3052483.55,2007
1257,1.8575879056549988E10,2007
2319,4.1445515105E8,2007
1611,4.924690985000001E7,2007
48291,2.303914742E8,2007
4947,3.060038355E7,2007
39165,4.5802085200000006E8,2007
4895,926500.0,2007
17185,4.5376755E7,2007
37197,6.153894E7,2007
4151,3.0513815962E9,2007
20173,1.6547466451499991E9,2007
485,2.2270454260000002E8,2007
39111,1.834149E7,2007
1883,1.712195313E8,2007
26153,8874348.55,2007
13319,1.038254275E7,2007
541,4.669467695E7,2007
1929,1.117050855E7,2007
13157,1.3920860245E8,2007
21199,5.261700731000001E8,2007
13303,3.73281942E7,2007
4693,2.461265E7,2007
2977,1.0410831085999998E9,2007
339,2.8831835985E8,2007
409,2.1781234775000003E8,2007
37147,2.95637344755E9,2007
4775,1.919695E7,2007
48479,2.451845134E8,2007
37131,1.17231842E7,2007
5363,2.2176070122499995E9,2007
28119,8395750.0,2007
3933,5.9635238199999996E7,2007
48149,3.4178525650000006E7,2007
3075,1741000.0,2007
37181,2.1181799275E8,2007
4281,3.328741100500001E8,2007
2773,3795908.55,2007
3997,9.670505985E7,2007
3791,6.429845065E7,2007
4789,2.3197835710000002E8,2007
3893,1.8104224065E8,2007
20125,1.3199725695E8,2007
2525,1.0527900519000001E9,2007
4857,3.408050855E7,2007
5353,2.0538474757499995E9,2007
3667,1.5110570457499998E9,2007
26157,1.070097176E8,2007
17149,9680740.0,2007
2829,3.488036775E7,2007
5111,2.2040135E7,2007
4717,8.37287771E7,2007
4587,1.077189234E8,2007
4227,1.9835916150000003E8,2007
48489,1.10569E7,2007
4883,9155775.0,2007
4935,3.2734095657500024E9,2007
173,5270409.2,2007
48313,1.49659092E7,2007
4937,1.03657842E7,2007
21121,1.863500332E8,2007
3155,6.303124690999999E8,2007
5543,1.69272663E7,2007
3431,1.22372164855E9,2007
3511,4323750.0,2007
2763,8832800.0,2007
40107,2.6240010650000002E7,2007
455,7649670.0,2007
4733,2.293285E7,2007
