state_abr,fips,county,square_km,lat,lng
NM,357,Colfax,"9.759,65",36.612963,-104.640126
NM,3519,Guadalupe,"7.851,80",34.869782,-104.784968
NM,3547,San Miguel,"12.265,30",35.476876,-104.803515
NM,3533,Mora,"5.008,06",35.982841,-104.921898
NM,3527,Lincoln,"12.513,03",33.740941,-105.449083
NM,3555,Taos,"5.709,42",36.576529,-105.637987
NM,3535,Otero,"17.165,15",32.588776,-105.781079
NM,3557,Torrance,"8.665,41",34.634644,-105.846836
NM,3549,Santa Fe,"4.949,13",35.513722,-105.966441
NM,3528,Los Alamos,"282,97",35.870047,-106.307968
NM,351,Bernalillo,"3.023,00",35.054002,-106.669065
NM,3539,Rio Arriba,"15.270,96",36.509669,-106.693983
NM,3561,Valencia,"2.766,87",34.71684,-106.806582
NM,3513,Dona Ana,"9.879,20",32.350912,-106.832182
NM,3543,Sandoval,"9.624,25",35.685073,-106.882618
NM,3553,Socorro,"17.220,18",33.991614,-106.939003
NM,3551,Sierra,"10.971,77",33.119479,-107.188161
NM,3529,Luna,"7.680,23",32.184482,-107.746639
NM,356,Cibola,"11.763,03",34.93205,-108.000255
NM,3531,McKinley,"14.129,10",35.573732,-108.255307
NM,3545,San Juan,"14.344,45",36.511625,-108.324578
NM,3517,Grant,"10.275,91",32.732087,-108.381504
NM,353,Catron,"17.946,47",33.901814,-108.392097
NM,3523,Hidalgo,"8.925,08",31.899658,-108.745729
NV,3217,Lincoln,"27.549,67",37.634605,-114.863037
NV,3233,White Pine,"23.042,50",39.417804,-114.900945
NV,323,Clark,"20.877,41",36.214236,-115.013819
NV,327,Elko,"44.555,42",41.141133,-115.351424
NV,3211,Eureka,"10.826,05",39.977788,-116.272208
NV,3223,Nye,"47.134,18",37.966379,-116.459047
NV,3215,Lander,"14.295,41",39.900211,-117.04724
NV,329,Esmeralda,"9.295,57",37.778966,-117.632382
NV,3213,Humboldt,"25.013,64",41.407914,-118.127592
NV,321,Churchill,"13.012,25",39.525701,-118.270419
NV,3227,Pershing,"15.714,56",40.439639,-118.409477
NV,3221,Mineral,"9.875,57",38.516647,-118.416279
NV,3219,Lyon,"5.242,65",39.022214,-119.197417
NV,3229,Storey,"682,833",39.438385,-119.524646
NV,325,Douglas,"1.910,48",38.905129,-119.609019
NV,3231,Washoe,"16.944,25",40.703311,-119.710315
NV,32510,Carson City,"407,26",39.153447,-119.743442
NY,36103,Suffolk,"6.146,39",40.943554,-72.692218
NY,36115,Washington,"2.190,84",43.312377,-73.439428
NY,3683,Rensselaer,"1.723,36",42.710421,-73.513845
NY,3659,Nassau,"1.173,87",40.729687,-73.589384
NY,3621,Columbia,"1.679,00",42.247729,-73.626805
NY,3619,Clinton,"2.894,38",44.75271,-73.705648
NY,3627,Dutchess,"2.137,64",41.755009,-73.739951
NY,3679,Putnam,"637,787",41.427904,-73.743882
NY,36119,Westchester,"1.294,98",41.15277,-73.745912
NY,3631,Essex,"4.963,01",44.108971,-73.777573
NY,3681,Queens[10],"461,555",40.658557,-73.837929
NY,36113,Warren,"2.412,85",43.555105,-73.838139
NY,365,Bronx [10],"148,867",40.848711,-73.852939
NY,3691,Saratoga,"2.185,45",43.106135,-73.855387
NY,3647,Kings [10],"251,015",40.635133,-73.950777
NY,3661,New York[10],"86,999",40.776557,-73.970174
NY,361,Albany,"1.381,25",42.588271,-73.974014
NY,3687,Rockland,"516,293",41.154785,-74.024772
NY,3693,Schenectady,"542,308",42.817542,-74.043583
NY,3685,Richmond[10],"264,933",40.563855,-74.137063
NY,3639,Greene,"1.704,34",42.286951,-74.149495
NY,36111,Ulster,"3.006,36",41.947232,-74.265447
NY,3671,Orange,"2.172,08",41.40241,-74.306252
NY,3633,Franklin,"4.396,43",44.594374,-74.31067
NY,3635,Fulton,"1.380,15",43.115609,-74.423678
NY,3657,Montgomery,"1.062,82",42.900891,-74.435358
